"participant","TD_trial_number","TD_target_position","TD_rt","attention_state","TD_within_triplet_counter"
"5a01ddf3728b1b0001ad8ad0",16,6,348.20000000298,"slow","1"
"5a01ddf3728b1b0001ad8ad0",17,5,314.39999999851,"fast","1"
"5a01ddf3728b1b0001ad8ad0",18,8,380.10000000149,"slow","2"
"5a01ddf3728b1b0001ad8ad0",19,6,336.29999999702,"fast","1"
"5a01ddf3728b1b0001ad8ad0",21,6,388.80000000447,"slow","3"
"5a01ddf3728b1b0001ad8ad0",22,4,427.70000000298,"slow","1"
"5a01ddf3728b1b0001ad8ad0",23,8,415.79999999702,"fast","3"
"5a01ddf3728b1b0001ad8ad0",24,7,366.10000000149,"fast","3"
"5a216247c3e60a0001780c42",1,9,307.399999976158,"fast","3"
"5a216247c3e60a0001780c42",2,6,306.499999940395,"fast","1"
"5a216247c3e60a0001780c42",3,5,302.899999976158,"fast","2"
"5a216247c3e60a0001780c42",4,8,333.300000011921,"slow","3"
"5a216247c3e60a0001780c42",5,5,322.799999952316,"slow","1"
"5a216247c3e60a0001780c42",6,7,352.099999964237,"fast","2"
"5a216247c3e60a0001780c42",7,7,342.799999952316,"fast","1"
"5a216247c3e60a0001780c42",8,8,313.800000011921,"fast","3"
"5a216247c3e60a0001780c42",9,7,297.700000047684,"fast","3"
"5a216247c3e60a0001780c42",10,8,313.400000035763,"slow","2"
"5a216247c3e60a0001780c42",11,9,355,"slow","3"
"5a216247c3e60a0001780c42",12,5,375.099999964237,"slow","2"
"5a216247c3e60a0001780c42",13,8,300.100000023842,"fast","2"
"5a216247c3e60a0001780c42",14,6,284,"fast","2"
"5a216247c3e60a0001780c42",15,6,272.199999988079,"slow","1"
"5a216247c3e60a0001780c42",16,7,306.200000047684,"slow","3"
"5a216247c3e60a0001780c42",17,6,307.399999976158,"fast","3"
"5a216247c3e60a0001780c42",18,4,321.099999964237,"slow","1"
"5a216247c3e60a0001780c42",19,6,312.199999988079,"slow","2"
"5a216247c3e60a0001780c42",20,6,319.100000023842,"slow","3"
"5a216247c3e60a0001780c42",21,7,306.900000035763,"slow","2"
"5a216247c3e60a0001780c42",22,4,351.699999988079,"fast","1"
"5a216247c3e60a0001780c42",23,5,332.5,"fast","1"
"5a216247c3e60a0001780c42",24,7,285.300000011921,"slow","1"
"5a4afdd835c9d50001fdd1c0",1,6,452,"slow","3"
"5a4afdd835c9d50001fdd1c0",2,5,416,"slow","2"
"5a4afdd835c9d50001fdd1c0",3,5,363,"slow","1"
"5a4afdd835c9d50001fdd1c0",4,7,446,"slow","3"
"5a4afdd835c9d50001fdd1c0",5,7,365,"fast","2"
"5a4afdd835c9d50001fdd1c0",6,6,360,"fast","1"
"5a4afdd835c9d50001fdd1c0",7,8,413,"slow","3"
"5a4afdd835c9d50001fdd1c0",8,9,383,"fast","3"
"5a4afdd835c9d50001fdd1c0",9,6,363,"slow","1"
"5a4afdd835c9d50001fdd1c0",10,6,380,"slow","2"
"5a4afdd835c9d50001fdd1c0",11,7,316,"fast","1"
"5a4afdd835c9d50001fdd1c0",12,7,413,"slow","2"
"5a4afdd835c9d50001fdd1c0",13,6,292,"fast","2"
"5a4afdd835c9d50001fdd1c0",14,6,354,"fast","3"
"5a4afdd835c9d50001fdd1c0",16,8,307,"fast","2"
"5a4afdd835c9d50001fdd1c0",18,8,377,"fast","3"
"5a4afdd835c9d50001fdd1c0",19,5,410,"fast","1"
"5a4afdd835c9d50001fdd1c0",20,4,412,"slow","1"
"5a4afdd835c9d50001fdd1c0",21,8,409,"slow","2"
"5a4afdd835c9d50001fdd1c0",22,7,337,"fast","3"
"5a4afdd835c9d50001fdd1c0",23,4,366,"fast","1"
"5a4afdd835c9d50001fdd1c0",24,7,486,"slow","1"
"5a8f13595292b80001235e09",1,6,330.199999928474,"slow","1"
"5a8f13595292b80001235e09",2,7,371.700000047684,"fast","1"
"5a8f13595292b80001235e09",3,9,390.5,"slow","3"
"5a8f13595292b80001235e09",4,6,403.300000071526,"fast","3"
