within_triplet_counter,attention_state,participant,TD_rt,TD_trial_number,within_stream_position
1,fast,588b8,358.5,4.0,5
2,slow,588b8,418.99999994039536,23.0,8
2,slow,588b8,405.6999999880791,20.0,7
3,slow,588b8,359.80000001192093,15.0,6
1,slow,588b8,407.8999999761581,13.0,4
3,fast,588b8,343.09999996423716,6.0,7
1,fast,41428,452.3000000119209,7.0,6
2,fast,41428,352.69999998807907,2.0,5
2,fast,41428,429.09999999403954,8.0,7
3,slow,41428,382.3999999761581,24.0,9
1,fast,41428,223.0,1.0,4
1,slow,41428,376.09999999403954,13.0,4
3,slow,41428,346.69999998807907,15.0,6
3,fast,41428,349.80000001192093,9.0,8
2,fast,41428,591.0,5.0,6
3,slow,41428,388.2999999821186,18.0,7
1,slow,41428,358.6000000238418,16.0,5
3,fast,41428,379.3000000119209,3.0,6
2,slow,41428,355.89999997615814,14.0,5
3,fast,41428,345.40000000596046,6.0,7
1,fast,41428,459.1999999880791,4.0,5
3,slow,41428,357.80000001192093,21.0,8
2,slow,41428,132.39999997615814,17.0,6
2,fast,41428,20.200000017881393,11.0,8
1,fast,41428,370.5000000298023,10.0,7
1,slow,98dc0,351.0,16.0,5
3,fast,98dc0,752.0,6.0,7
1,fast,98dc0,348.0,7.0,6
3,fast,98dc0,701.0,3.0,6
1,slow,98dc0,377.0,19.0,6
3,fast,98dc0,697.0,9.0,8
2,fast,98dc0,369.0,11.0,8
2,fast,98dc0,385.0,2.0,5
1,fast,98dc0,380.0,1.0,4
1,slow,98dc0,377.0,13.0,4
2,slow,98dc0,239.0,20.0,7
1,fast,98dc0,374.0,4.0,5
3,fast,98dc0,680.0,12.0,9
2,fast,98dc0,205.0,8.0,7
2,slow,98dc0,387.0,14.0,5
2,fast,98dc0,251.0,5.0,6
2,slow,e0583,418.8000000007451,11.0,8
3,fast,e0583,423.49999999813735,18.0,7
1,fast,e0583,419.6000000014901,13.0,4
3,slow,e0583,376.4000000003725,12.0,9
3,slow,e0583,356.19999999739235,9.0,8
1,slow,e0583,405.3000000007451,1.0,4
2,slow,e0583,464.6999999992548,2.0,5
3,slow,e0583,377.6000000014901,6.0,7
2,slow,e0583,464.1000000014901,8.0,7
3,fast,e0583,443.5,15.0,6
1,slow,e0583,384.4000000003725,10.0,7
3,slow,e0583,540.5,3.0,6
1,slow,e0583,433.20000000111764,4.0,5
1,fast,e0583,371.59999999962747,19.0,6
2,slow,e0583,429.20000000111764,5.0,6
1,slow,e0583,379.1999999992548,7.0,6
2,fast,e0583,401.09999999962747,20.0,7
1,fast,e0583,384.6000000014901,16.0,5
2,fast,e0583,432.1999999992548,14.0,5
2,fast,e0583,452.0,17.0,6
2,slow,93b38,426.98999999975786,11.0,8
1,slow,93b38,462.55000000004657,10.0,7
2,fast,93b38,408.58999999915255,17.0,6
1,slow,93b38,386.37000000034465,7.0,6
1,slow,93b38,480.79499999945983,1.0,4
2,slow,93b38,432.1500000008382,2.0,5
3,fast,93b38,384.3200000012294,15.0,6
3,fast,93b38,382.7300000009127,24.0,9
2,fast,93b38,392.5200000011828,23.0,8
3,slow,93b38,440.74500000174163,9.0,8
3,fast,93b38,386.4950000005774,21.0,8
1,fast,93b38,390.5049999977928,19.0,6
2,fast,93b38,416.25000000023283,14.0,5
3,slow,93b38,399.6800000006333,12.0,9
3,slow,93b38,449.91500000096863,3.0,6
1,fast,93b38,430.76000000280334,22.0,7
2,slow,93b38,467.4500000001863,5.0,6
3,slow,93b38,437.9699999992736,6.0,7
1,fast,93b38,423.1849999977277,13.0,4
2,slow,93b38,396.87500000023283,8.0,7
1,slow,93b38,390.71000000159256,4.0,5
2,fast,93b38,390.51000000117347,20.0,7
1,fast,b4050,411.6999999880791,13.0,4
3,fast,b4050,363.7000000476837,21.0,8
3,fast,b4050,393.3999999761581,15.0,6
1,fast,b4050,410.2000000476837,19.0,6
2,fast,b4050,367.5999999642372,14.0,5
1,fast,b4050,404.5999999642372,22.0,7
1,slow,b4050,412.7000000476837,7.0,6
1,slow,b4050,366.2999999523163,10.0,7
3,slow,b4050,471.7999999523163,6.0,7
2,slow,b4050,405.6999999880791,8.0,7
1,slow,b4050,439.7999999523163,1.0,4
3,slow,b4050,414.0,3.0,6
1,fast,b4050,393.50000005960464,16.0,5
3,slow,b4050,600.3000000119208,12.0,9
2,slow,b4050,406.3999999761581,5.0,6
3,slow,b4050,412.5999999642372,9.0,8
2,slow,b4050,415.99999994039536,11.0,8
2,slow,b4050,386.2999999523163,2.0,5
2,fast,b4050,374.00000005960464,23.0,8
3,fast,b4050,531.5999999642372,24.0,9
2,fast,ceefb,361.5000009536743,11.0,8
2,fast,ceefb,353.20000076293945,5.0,6
2,slow,ceefb,430.39999961853033,14.0,5
1,fast,ceefb,402.0,1.0,4
1,slow,ceefb,359.39999961853033,16.0,5
2,slow,ceefb,390.39999961853033,23.0,8
2,fast,ceefb,340.70000076293945,8.0,7
1,fast,ceefb,362.5999994277954,10.0,7
1,slow,ceefb,373.89999961853033,13.0,4
3,slow,ceefb,404.60000038146967,21.0,8
1,fast,ceefb,325.89999961853033,4.0,5
3,slow,ceefb,400.60000038146967,18.0,7
2,fast,ceefb,396.5999994277954,2.0,5
1,slow,ceefb,357.80000019073486,22.0,7
3,fast,ceefb,352.70000076293945,9.0,8
1,slow,ceefb,400.9000005722046,19.0,6
3,fast,ceefb,362.19999980926514,6.0,7
2,slow,ceefb,412.5,17.0,6
1,fast,ceefb,347.0,7.0,6
3,fast,ceefb,372.39999961853033,3.0,6
3,slow,ceefb,364.5000009536743,24.0,9
2,slow,a1b8d,390.3000000119209,14.0,5
3,fast,a1b8d,381.1999999880791,3.0,6
1,fast,a1b8d,379.8999999761581,7.0,6
2,fast,a1b8d,380.80000007152563,2.0,5
2,fast,a1b8d,385.8000000119209,8.0,7
3,slow,a1b8d,399.1000000238418,21.0,8
3,slow,a1b8d,458.8999999761581,18.0,7
1,slow,a1b8d,377.5,16.0,5
3,fast,a1b8d,457.2999999523163,12.0,9
2,slow,a1b8d,392.6999999880791,20.0,7
1,slow,a1b8d,399.1000000238418,22.0,7
2,fast,a1b8d,357.5,11.0,8
1,fast,a1b8d,420.5999999642372,1.0,4
3,fast,a1b8d,392.1999999880791,6.0,7
1,slow,a1b8d,425.8999999761581,13.0,4
1,fast,a1b8d,407.69999992847437,4.0,5
3,slow,a1b8d,380.7999999523163,15.0,6
2,slow,a1b8d,380.1000000238418,23.0,8
2,slow,a1b8d,365.3000000119209,17.0,6
2,fast,a1b8d,365.1000000238418,5.0,6
1,fast,a1b8d,383.8000000119209,10.0,7
3,fast,a1b8d,356.1000000238418,9.0,8
3,slow,a1b8d,391.8999999761581,24.0,9
2,fast,994d8,380.3999999761581,23.0,8
2,fast,994d8,364.5000001192093,14.0,5
3,slow,994d8,384.6000000238418,3.0,6
1,slow,994d8,351.5,10.0,7
1,fast,994d8,370.0,13.0,4
3,slow,994d8,303.6000000238418,6.0,7
1,fast,994d8,347.4999998807907,16.0,5
3,fast,994d8,361.1000000238418,24.0,9
3,slow,994d8,467.4000000953674,12.0,9
2,slow,994d8,426.9000000953674,5.0,6
2,slow,994d8,348.59999990463257,11.0,8
3,fast,994d8,362.2999999523163,15.0,6
